,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,org_name,org_latitude_deg,org_longitude_deg,org_elevation_ft,org_continent,org_iso_country,org_iso_region,org_municipality,org_gps_code,org_iata_code,org_local_code,dst_name,dst_latitude_deg,dst_longitude_deg,dst_elevation_ft,dst_continent,dst_iso_country,dst_iso_region,dst_municipality,dst_gps_code,dst_iata_code,dst_local_code
600941,SWA1266,,abe030,N8641B,B738,KBWI,KDAL,2020-03-25 22:44:34+00:00,2020-03-26 01:49:59+00:00,20200326,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146.0,,US,US-MD,Baltimore,KBWI,BWI,BWI,Dallas Love Field,32.847099,-96.851799,487.0,,US,US-TX,Dallas,KDAL,DAL,DAL
600944,DAL2503,DL2503,a98219,N711ZX,B752,KJFK,KSEA,2020-03-25 22:44:42+00:00,2020-03-26 04:19:37+00:00,20200326,John F Kennedy International Airport,40.63980103,-73.77890015,13.0,,US,US-NY,New York,KJFK,JFK,JFK,Seattle Tacoma International Airport,47.449001,-122.308998,433.0,,US,US-WA,Seattle,KSEA,SEA,SEA
600945,AAL2104,AA2104,a8aa87,N658AW,A320,KPHX,KDTW,2020-03-25 22:44:45+00:00,2020-03-26 01:35:57+00:00,20200326,Phoenix Sky Harbor International Airport,33.43429946899414,-112.01200103759766,1135.0,,US,US-AZ,Phoenix,KPHX,PHX,PHX,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203,645.0,,US,US-MI,Detroit,KDTW,DTW,DTW
600947,AZU5100,AD5100,e49444,,,SBKP,SBRF,2020-03-25 22:45:19+00:00,2020-03-26 01:20:41+00:00,20200326,Viracopos International Airport,-23.0074005127,-47.1344985962,2170.0,SA,BR,BR-SP,Campinas,SBKP,VCP,,Guararapes - Gilberto Freyre International Airport,-8.126489639282228,-34.923599243164055,33.0,SA,BR,BR-PE,Recife,SBRF,REC,
600948,ASA771,AS771,a81bd0,N621VA,A320,KDCA,KPDX,2020-03-25 22:45:23+00:00,2020-03-26 04:36:44+00:00,20200326,Ronald Reagan Washington National Airport,38.8521,-77.037697,15.0,,US,US-DC,Washington,KDCA,DCA,DCA,Portland International Airport,45.58869934,-122.59799960000001,31.0,,US,US-OR,Portland,KPDX,PDX,PDX
600950,AAL1083,,abbb24,N855NN,B738,KPDX,KPHX,2020-03-25 22:45:38+00:00,2020-03-26 01:03:37+00:00,20200326,Portland International Airport,45.58869934,-122.59799960000001,31.0,,US,US-OR,Portland,KPDX,PDX,PDX,Phoenix Sky Harbor International Airport,33.43429946899414,-112.01200103759766,1135.0,,US,US-AZ,Phoenix,KPHX,PHX,PHX
600951,FFT1157,F91157,a3615f,N317FR,A20N,KORD,KISM,2020-03-25 22:45:41+00:00,2020-03-26 00:35:09+00:00,20200326,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD,Kissimmee Gateway Airport,28.289800643899998,-81.43710327149999,82.0,,US,US-FL,Orlando,KISM,ISM,ISM
600952,UAL1857,,aa7e2e,N77510,B738,KEWR,KRSW,2020-03-25 22:45:43+00:00,2020-03-26 01:05:11+00:00,20200326,Newark Liberty International Airport,40.69250106811523,-74.168701171875,18.0,,US,US-NJ,Newark,KEWR,EWR,EWR,Southwest Florida International Airport,26.53619956970215,-81.75520324707031,30.0,,US,US-FL,Fort Myers,KRSW,RSW,RSW
600953,AAL891,AA891,a0ddfb,N155NN,A321,KPHX,KORD,2020-03-25 22:45:57+00:00,2020-03-26 01:21:22+00:00,20200326,Phoenix Sky Harbor International Airport,33.43429946899414,-112.01200103759766,1135.0,,US,US-AZ,Phoenix,KPHX,PHX,PHX,Chicago O'Hare International Airport,41.9786,-87.9048,672.0,,US,US-IL,Chicago,KORD,ORD,ORD
600956,ABX3103,GB3103,aa017c,N744AX,B762,KRFD,KRIR,2020-03-25 22:46:06+00:00,2020-03-26 03:14:48+00:00,20200326,Chicago Rockford International Airport,42.19540023803711,-89.09719848632812,742.0,,US,US-IL,Chicago/Rockford,KRFD,RFD,RFD,Flabob Airport,33.989700317382805,-117.41100311279295,764.0,,US,US-CA,Riverside/Rubidoux/,KRIR,,RIR
